ID	GRE	GPA	Rank	Admit
330	500	2.93	4	0
331	740	4	3	0
332	660	3.59	3	0
333	420	2.96	1	0
334	560	3.43	3	0
335	460	3.64	3	1
336	620	3.71	1	1
337	520	3.15	3	0
338	620	3.09	4	0
339	540	3.2	1	0
340	660	3.47	3	1
341	500	3.23	4	0
342	560	2.65	3	1
343	500	3.95	4	0
344	580	3.06	2	0
345	520	3.35	3	0
346	500	3.03	3	0
347	600	3.35	2	0
348	580	3.8	2	0
349	400	3.36	2	0
350	620	2.85	2	0
351	780	4	2	1
352	620	3.43	3	0
353	580	3.12	3	1
354	700	3.52	2	0
355	540	3.78	2	1
356	760	2.81	1	1
357	700	3.27	2	0
358	720	3.31	1	0
359	560	3.69	3	1
360	720	3.94	3	0
361	520	4	1	1
362	540	3.49	1	1
363	680	3.14	2	0
364	460	3.44	2	0
365	560	3.36	1	1
366	480	2.78	3	0
367	460	2.93	3	0
368	620	3.63	3	0
369	580	4	1	0
370	800	3.89	2	0
371	540	3.77	2	1
372	680	3.76	3	1
373	680	2.42	1	1
374	620	3.37	1	1
375	560	3.78	2	0
376	560	3.49	4	0
377	620	3.63	2	0
378	800	4	2	1
379	640	3.12	3	0
380	540	2.7	2	0
381	700	3.65	2	0
382	540	3.49	2	1
383	540	3.51	2	0
384	660	4	1	0
385	480	2.62	2	1
386	420	3.02	1	0
387	740	3.86	2	1
388	580	3.36	2	0
389	640	3.17	2	0
390	640	3.51	2	0
391	800	3.05	2	1
392	660	3.88	2	1
393	600	3.38	3	1
394	620	3.75	2	1
395	460	3.99	3	1
396	620	4	2	0
397	560	3.04	3	0
398	460	2.63	2	0
399	700	3.65	2	0
400	600	3.89	3	0
